Task,Description,Status,Notes
Define Data Model,Create a JSON structure to represent all survey item types (linear, grid, columnar, open, checklist, slider),To Do,Each item should have a type and relevant properties
UI: Survey Item Editor,Build an interface to add/edit/remove survey items of different types,To Do,Editable in preview (like reading.js)
UI: Linear Layout,Render questions vertically with answer lines/checkboxes,To Do,Allow for open-ended or checkbox answers
UI: Grid/Matrix Layout,Render a table with rows (questions) and columns (options),To Do,Editable rows/columns; circles/boxes for answers
UI: Columnar Layout,Render short questions side-by-side,To Do,Table format; blank lines for answers
UI: Open-Response Layout,Render large blank spaces for narrative answers,To Do,Resizable answer area
UI: Checklist/Tabular,Render a list/table with checkboxes,To Do,Allow adding/removing items
UI: Visual-Analog/Slider,Render a horizontal line for marking a point,To Do,Configurable min/max labels
AI Integration,Update AI prompt/response to use structured JSON for all types,To Do,AI should return array of question objects
Print/Export,Ensure all layouts print cleanly and match preview,To Do,Round corners, clear lines, space for handwriting
Testing,Test all layouts for usability and print output,To Do,Get teacher feedback
Documentation,Document how to use and extend the builder,To Do,Include examples for each layout type
